xs,ys
-4301166.646664671,7.160488439705656e-08
-4301096.639663971,6.593677019461599e-08
-4301026.63266327,6.049925926328652e-08
-4300956.625662571,5.5292780579598725e-08
-4300886.618661871,5.031775919764908e-08
-4300816.611661171,4.557461623780175e-08
-4300746.604660471,4.1063768875395933e-08
-4300676.59765977,3.678563032889046e-08
-4300606.590659071,3.274060984899499e-08
-4300536.58365837,2.8929112706949705e-08
-4300466.576657671,2.535154018371578e-08
-4300396.56965697,2.200828955841737e-08
-4300326.56265627,1.889975409763938e-08
-4300256.55565557,1.602632304403515e-08
-4300186.54865487,1.338838160569639e-08
-4300116.54165417,1.0986310944954103e-08
-4300046.53465347,8.820488167826874e-09
-4299976.52765277,6.891286313017892e-09
-4299906.52065207,5.199074341327992e-09
-4299836.51365137,3.744217125075232e-09
-4299766.5066506695,2.5270754373777443e-09
-4299696.49964997,1.5480059418013045e-09
-4299626.492649269,8.073611818019059e-10
-4299556.48564857,3.0548957046046575e-10
-4299486.478647869,4.273538010264839e-11
-4299416.471647169,1.9438732120983964e-11
-4299346.464646469,2.3593558678237776e-10
-4299276.457645769,6.92557733133976e-10
-4299206.450645069,1.3896327789984564e-09
-4299136.443644369,2.327484140965672e-09
-4299066.436643668,3.5064310345743238e-09
-4298996.429642969,4.926788464396009e-09
-4298926.422642269,6.588867214379592e-09
-4298856.415641569,8.492973838139323e-09
-4298786.408640869,1.0639410649247902e-08
-4298716.401640168,1.3028475711885178e-08
-4298646.394639469,1.5660462831130014e-08
-4298576.387638768,1.8535661543818488e-08
-4298506.380638069,2.1654357108933266e-08
-4298436.373637368,2.501683049864828e-08
-4298366.366636668,2.86233583887954e-08
-4298296.359635968,3.2474213150130616e-08
-4298226.352635268,3.656966283888152e-08
-4298156.345634568,4.090997118819578e-08
-4298086.338633868,4.549539759880393e-08
-4298016.331633168,5.032619713057797e-08
-4297946.324632468,5.5402620493625246e-08
-4297876.317631768,6.072491403937699e-08
