x,y
-4.04405193519352E+06,5.73291225002625E-07
-4.0440399339934E+06,5.99931225200747E-07
-4.04402793279329E+06,6.27185919762528E-07
-4.04401593159317E+06,6.5505590439027E-07
-4.04400393039305E+06,6.8354177116795E-07
-4.04399192919293E+06,7.12644108554127E-07
-4.04397992799281E+06,7.42363501375162E-07
-4.04396792679269E+06,7.7270053081815E-07
-4.04395592559257E+06,8.03655774424191E-07
-4.04394392439245E+06,8.3522980608135E-07
-4.04393192319233E+06,8.67423196019233E-07
-4.0439199219922E+06,9.00236510796948E-07
-4.04390792079209E+06,9.33670313303971E-07
-4.04389591959197E+06,9.67725162748189E-07
-4.04388391839185E+06,1.00240161465053E-06
-4.04387191719173E+06,1.03770022083805E-06
-4.04385991599161E+06,1.07362152943731E-06
-4.04384791479149E+06,1.11016608486754E-06
-4.04383591359137E+06,1.14733442783408E-06
-4.04382391239124E+06,1.18512709532151E-06
-4.04381191119112E+06,1.22354462058866E-06
-4.043799909991E+06,1.26258753315587E-06
-4.04378790879089E+06,1.30225635880738E-06
-4.04377590759077E+06,1.34255161957864E-06
-4.04376390639065E+06,1.38347383375142E-06
-4.04375190519053E+06,1.42502351584701E-06
-4.0437399039904E+06,1.46720117661987E-06
-4.04372790279028E+06,1.51000732305093E-06
-4.04371590159016E+06,1.55344245834125E-06
-4.04370390039004E+06,1.59750708190704E-06
-4.04369189918993E+06,1.64220168936655E-06
-4.04367989798981E+06,1.68752677254368E-06
-4.04366789678969E+06,1.73348281945492E-06
-4.04365589558956E+06,1.78007031430443E-06
-4.04364389438944E+06,1.82728973747785E-06
-4.04363189318932E+06,1.87514156553575E-06
-4.0436198919892E+06,1.92362627120744E-06
-4.04360789078909E+06,1.97274432338448E-06
-4.04359588958897E+06,2.0224961871145E-06
-4.04358388838885E+06,2.07288232359682E-06
-4.04357188718872E+06,2.12390319016834E-06
-4.0435598859886E+06,2.17555924030895E-06
-4.04354788478848E+06,2.22785092362769E-06
-4.04353588358836E+06,2.2807786858582E-06
-4.04352388238824E+06,2.33434296885288E-06
-4.04351188118812E+06,2.38854421057634E-06
-4.043499879988E+06,2.44338284509963E-06
-4.04348787878788E+06,2.49885930259377E-06
-4.04347587758776E+06,2.55497400932392E-06
-4.04346387638764E+06,2.61172738764529E-06
-4.04345187518752E+06,2.66911985598844E-06
-4.0434398739874E+06,2.72715182886623E-06
-4.04342787278728E+06,2.78582371685927E-06
-4.04341587158716E+06,2.84513592661181E-06
-4.04340387038704E+06,2.90508886082609E-06
-4.04339186918692E+06,2.96568291825603E-06
-4.0433798679868E+06,3.02691849370159E-06
-4.04336786678668E+06,3.08879597800275E-06
-4.04335586558657E+06,3.15131575803344E-06
-4.04334386438644E+06,3.21447821669844E-06
-4.04333186318632E+06,3.27828373291749E-06
-4.0433198619862E+06,3.34273268163413E-06
-4.04330786078608E+06,3.40782543380035E-06
-4.04329585958596E+06,3.47356235637289E-06
-4.04328385838584E+06,3.53994381230787E-06
-4.04327185718573E+06,3.60697016055463E-06
-4.0432598559856E+06,3.67464175605042E-06
-4.04324785478549E+06,3.74295894971428E-06
-4.04323585358537E+06,3.81192208844178E-06
-4.04322385238524E+06,3.88153151510167E-06
-4.04321185118512E+06,3.95178756851978E-06
-4.043199849985E+06,4.02269058348928E-06
-4.04318784878488E+06,4.09424089075463E-06
-4.04317584758476E+06,4.16643881700836E-06
-4.04316384638464E+06,4.23928468488583E-06
-4.04315184518453E+06,4.31277881295959E-06
-4.0431398439844E+06,4.38692151573369E-06
-4.04312784278428E+06,4.46171310363853E-06
-4.04311584158416E+06,4.53715388302815E-06
-4.04310384038404E+06,4.61324415616295E-06
-4.04309183918392E+06,4.68998422122217E-06
-4.0430798379838E+06,4.76737437228641E-06
-4.04306783678368E+06,4.8454148993356E-06
-4.04305583558356E+06,4.9241060882432E-06
-4.04304383438344E+06,5.00344822077135E-06
-4.04303183318332E+06,5.08344157456509E-06
-4.0430198319832E+06,5.16408642314755E-06
-4.04300783078308E+06,5.24538303591423E-06
-4.04299582958296E+06,5.32733167813144E-06
-4.04298382838284E+06,5.40993261091784E-06
-4.04297182718272E+06,5.49318609125884E-06
-4.0429598259826E+06,5.57709237198826E-06
-4.04294782478248E+06,5.66165170178675E-06
-4.04293582358236E+06,5.7468643251765E-06
-4.04292382238224E+06,5.83273048251602E-06
-4.04291182118212E+06,5.91925040999533E-06
-4.042899819982E+06,6.00642433963082E-06
-4.04288781878188E+06,6.09425249925999E-06
-4.04287581758176E+06,6.18273511254035E-06
-4.04286381638164E+06,6.27187239893016E-06
-4.04285181518152E+06,6.36166457370462E-06
-4.0428398139814E+06,6.45211184793668E-06
-4.04282781278128E+06,6.54321442849607E-06
-4.04281581158116E+06,6.63497251804396E-06
-4.04280381038104E+06,6.72738631502853E-06
-4.04279180918092E+06,6.82045601367967E-06
-4.0427798079808E+06,6.91418180400466E-06
-4.04276780678068E+06,7.00856387178291E-06
-4.04275580558056E+06,7.10360239856533E-06
-4.04274380438044E+06,7.19929756165438E-06
-4.04273180318032E+06,7.29564953412187E-06
-4.0427198019802E+06,7.39265848478939E-06
-4.04270780078008E+06,7.4903245782271E-06
-4.04269579957996E+06,7.58864797474947E-06
-4.04268379837984E+06,7.68762883041048E-06
-4.04267179717972E+06,7.78726729699883E-06
-4.0426597959796E+06,7.88756352203378E-06
-4.04264779477948E+06,7.9885176487641E-06
