Energy (MHz),Magnetic Field (G)
-1.611607204645091,215.3854515050167
-1.596349467879507,215.4558528428093
-1.581066936485908,215.526254180602
-1.565760073375763,215.5966555183946
-1.550429356295357,215.6670568561873
-1.535075278209743,215.7374581939799
-1.519698347697262,215.8078595317726
-1.504299089354915,215.8782608695652
-1.488878044214951,215.9486622073578
-1.473435770172978,216.0190635451505
-1.45797284242807,216.0894648829431
-1.442489853935083,216.1598662207358
-1.426987415869707,216.2302675585284
-1.411466158106617,216.3006688963211
-1.39592672971111,216.3710702341137
-1.380369799444711,216.4414715719064
-1.364796056285182,216.511872909699
-1.349206209961378,216.5822742474916
-1.333600991503517,216.6526755852843
-1.317981153809254,216.7230769230769
-1.302347472226185,216.7934782608696
-1.286700745151281,216.8638795986622
-1.271041794647831,216.9342809364549
-1.255371467080459,217.0046822742475
-1.239690633768896,217.0750836120401
-1.224000191661033,217.1454849498328
-1.208301064026058,217.2158862876254
-1.192594201168246,217.2862876254181
-1.176880581162167,217.3566889632107
-1.161161210610093,217.4270903010033
-1.145437125422311,217.497491638796
-1.12970939162123,217.5678929765886
-1.113979106170038,217.6382943143813
-1.098247397826908,217.7086956521739
-1.082515428025537,217.7790969899665
-1.066784391783078,217.8494983277592
-1.05105551863641,217.9198996655518
-1.035330073610852,217.9903010033445
-1.019609358206622,218.0607023411371
-1.003894711436877,218.1311036789297
-0.9881875108846334,218.2015050167224
-0.9724891737973731,218.271906354515
-0.9568011582169413,218.3423076923077
-0.9411249641461547,218.4127090301003
-0.9254621347535014,218.483110367893
-0.9098142576174005,218.5535117056856
-0.8941829660115993,218.6239130434782
-0.8785699402332575,218.6943143812709
-0.8629769089755426,218.7647157190635
-0.8474056507463489,218.8351170568562
